,J+27 Mar 15/06/21,Judiciaire,Appartement Saint-ouen,Tribunal Judiciaire de BOBIGNY,350 000.00 €,225 000.00 €  -35%,      ,Unnamed: 7,Unnamed: 8,Unnamed: 9
0,,,,,,,,,,
1,J+32 Jeu 10/06/21,Judiciaire,Logement Paris,Tribunal Judiciaire de PARIS,100 000.00 €,205 000.00 €  +105%,      ,,,
2,,,,,,,,,,
3,J+32 Jeu 10/06/21,Judiciaire,PAVILLON Colombes,Tribunal Judiciaire de NANTERRE,196 000.00 €,500 000.00 €  +156%,      ,,,
4,,,,,,,,,,
5,J+32 Jeu 10/06/21,Judiciaire,PAVILLON le-Perreux-sur-Marne,Tribunal Judiciaire de CRETEIL,434 500.00 €,606 000.00 €  +40%,      ,,,
6,,,,,,,,,,
7,J+32 Jeu 10/06/21,Judiciaire,Appartement Saint-maur-des-fosses,Tribunal Judiciaire de CRETEIL,53 000.00 €,155 000.00 €  +193%,      ,,,
8,,,,,,,,,,
9,J+32 Jeu 10/06/21,Judiciaire,PAVILLON Villeneuve-St-Georges,Tribunal Judiciaire de CRETEIL,17 000.00 €,177 000.00 €  +942%,      ,,,
10,,,,,,,,,,
11,J+33 Mer 09/06/21,Judiciaire,Appartement Grigny,Tribunal Judiciaire de EVRY,6 000.00 €,57 000.00 €  +850%,      ,,,
12,,,,,,,,,,
13,J+33 Mer 09/06/21,Judiciaire,Appartement Grigny,Tribunal Judiciaire de EVRY,6 000.00 €,8 000.00 €  +34%,      ,,,
14,,,,,,,,,,
15,J+33 Mer 09/06/21,Judiciaire,Maison Sartrouville,Tribunal Judiciaire de VERSAILLES,95 000.00 €,197 000.00 €  +108%,      ,,,
16,,,,,,,,,,
17,J+34 Mar 08/06/21,Judiciaire,Maison Bondy,Tribunal Judiciaire de BOBIGNY,232 100.00 €,330 000.00 €  +43%,      ,,,
18,,,,,,,,,,
19,J+34 Mar 08/06/21,Judiciaire,Logement Bondy,Tribunal Judiciaire de BOBIGNY,46 000.00 €,81 000.00 €  +77%,      ,,,
20,,,,,,,,,,
21,J+40 Mer 02/06/21,Judiciaire,Studio Mantes-la-Jolie,Tribunal Judiciaire de VERSAILLES,45 000.00 €,84 000.00 €  +87%,      ,,,
22,,,,,,,,,,
23,J+40 Mer 02/06/21,Judiciaire,PAVILLON Jouars-Pontchartrain,Tribunal Judiciaire de VERSAILLES,440 000.00 €,302 000.00 €  -31%,      ,,,
24,,,,,,,,,,
25,J+41 Mar 01/06/21,Judiciaire,Appartement Cergy,Tribunal Judiciaire de PONTOISE,31 000.00 €,166 000.00 €  +436%,      ,,,
26,,,,,,,,,,
27,J+41 Mar 01/06/21,Judiciaire,Logement Bondy,Tribunal Judiciaire de BOBIGNY,34 000.00 €,135 000.00 €  +298%,      ,,,
28,,,,,,,,,,
29,J+41 Mar 01/06/21,Judiciaire,Local commercial Montreuil,Tribunal Judiciaire de BOBIGNY,135 000.00 €,150 000.00 €  +12%,      ,,,
30,,,,,,,,,,
31,J+41 Mar 01/06/21,Judiciaire,Maison Pierrefitte-sur-Seine,Tribunal Judiciaire de BOBIGNY,90 000.00 €,233 000.00 €  +159%,      ,,,
32,,,,,,,,,,
33,J+41 Mar 01/06/21,Judiciaire,Appartement Rosny-sous-Bois,Tribunal Judiciaire de BOBIGNY,33 000.00 €,142 000.00 €  +331%,      ,,,
34,,,,,,,,,,
35,J+41 Mar 01/06/21,Judiciaire,Appartement Sevran,Tribunal Judiciaire de BOBIGNY,28 000.00 €,158 000.00 €  +465%,      ,,,
36,,,,,,,,,,
37,J+46 Jeu 27/05/21,Judiciaire,Local Paris,Tribunal Judiciaire de PARIS,100 000.00 €,1 010 000.00 €  +910%,      ,,,
38,,,,,,,,,,
39,J+46 Jeu 27/05/21,Judiciaire,Logement Paris,Tribunal Judiciaire de PARIS,160 000.00 €,350 000.00 €  +119%,      ,,,
40,,,,,,,,,,
41,J+46 Jeu 27/05/21,Judiciaire,Local commercial Paris,Tribunal Judiciaire de PARIS,500 000.00 €,1 210 000.00 €  +142%,      ,,,
42,,,,,,,,,,
43,J+46 Jeu 27/05/21,Judiciaire,Appartement Sucy-en-Brie,Tribunal Judiciaire de CRETEIL,60 000.00 €,115 000.00 €  +92%,      ,,,
44,,,,,,,,,,
45,J+48 Mar 25/05/21,Judiciaire,PAVILLON Sannois,Tribunal Judiciaire de PONTOISE,110 000.00 €,930 000.00 €  +746%,      ,,,
46,,,,,,,,,,
47,J+48 Mar 25/05/21,Judiciaire,Appartement Aubervilliers,Tribunal Judiciaire de BOBIGNY,30 000.00 €,112 000.00 €  +274%,      ,,,
48,,,,,,,,,,
